Systematic ID	Gene name	Product description
SPMIT.08	var1	mitochondrial ribosomal protein subunit S3
SPBC30D10.12c	rsm27	mitochondrial ribosomal protein subunit S33
SPAC2F7.15	rsm24	mitochondrial ribosomal protein subunit S35
SPAC24C9.13c	mrp10	mitochondrial ribosomal protein subunit S37
SPBC13G1.01c	nam9	mitochondrial ribosomal protein subunit S4
SPBC3H7.04		mitochondrial ribosomal protein subunit S43a
SPBC16A3.14		mitochondrial ribosomal protein subunit S43b
SPBC14C8.16c	bot1	mitochondrial ribosomal protein subunit S45
SPAC4G9.17c	mrp5	mitochondrial ribosomal protein subunit S5
SPAC343.08c	mrp17	mitochondrial ribosomal protein subunit S6
SPAC16E8.10c	rsm7	mitochondrial ribosomal protein subunit S7
SPCC736.10c	mrps8	mitochondrial ribosomal protein subunit S8
SPAC29A4.03c	mrps9	mitochondrial ribosomal protein subunit S9
SPNCRNA.5599		non-coding RNA
SPNCRNA.7382		non-coding RNA
SPNCRNA.4875		non-coding RNA
SPNCRNA.7770		non-coding RNA
SPNCRNA.3626		non-coding RNA
SPNCRNA.5661		non-coding RNA
SPNCRNA.7774		non-coding RNA
SPNCRNA.6669		non-coding RNA
SPNCRNA.6491		non-coding RNA
SPNCRNA.7343		non-coding RNA
SPNCRNA.6891		non-coding RNA
SPNCRNA.6459		non-coding RNA
SPNCRNA.3412		non-coding RNA
SPNCRNA.6676		non-coding RNA
SPNCRNA.5216		non-coding RNA
SPNCRNA.7061		non-coding RNA
SPNCRNA.5963		non-coding RNA
SPNCRNA.3869		non-coding RNA
SPNCRNA.6355		non-coding RNA
SPNCRNA.3582		non-coding RNA
SPNCRNA.7771		non-coding RNA
SPNCRNA.4731		non-coding RNA
SPNCRNA.4775		non-coding RNA
SPNCRNA.7465		non-coding RNA
SPNCRNA.3342		non-coding RNA
SPNCRNA.6670		non-coding RNA
SPNCRNA.5566		non-coding RNA
SPNCRNA.3896		non-coding RNA
SPAC22E12.13c	rlp24	ribosomal L24-like protein involved in ribosome biogenesis Rlp24
SPAC664.06	rlp7	ribosomal L7-like protein involved in ribosome biogenesis
SPAC644.15	rpp101	ribosomal protein P1 Rpp101
SPBC3B9.13c	rpp102	ribosomal protein P1 Rpp102
SPCP1E11.09c	rpp103	ribosomal protein P1 Rpp103
SPAC11G7.04	ubi1	ribosomal-ubiquitin fusion protein Ubi1
SPAC1805.12c	ubi2	ribosomal-ubiquitin fusion protein Ubi2
SPAC6G10.11c	ubi3	ribosomal-ubiquitin fusion protein Ubi3
SPAC589.10c	ubi5	ribosomal-ubiquitin fusion protein Ubi5
SPAC6B12.15	cpc2	ribosome-associated signalling scaffold, receptor of activated C kinase (RACK1) ortholog Cpc2
