NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GO:2000112	GO:2000112		20	0.27035016	1.056028	0.35986355	0.42044377	1.0	1206	tags=50%, list=28%, signal=69%	
GO:0098655	GO:0098655		27	0.24532199	1.0536137	0.375	0.42048994	1.0	1011	tags=37%, list=23%, signal=48%	
GO:0031323	GO:0031323		38	0.22273175	1.0436232	0.3720485	0.43450218	1.0	1326	tags=50%, list=31%, signal=71%	
GO:0031326	GO:0031326		26	0.22551633	0.9479725	0.52912325	0.6205789	1.0	1326	tags=50%, list=31%, signal=72%	
GO:0016051	GO:0016051		19	0.24774101	0.94059867	0.5319383	0.63024306	1.0	354	tags=21%, list=8%, signal=23%	
GO:0071705	GO:0071705		70	0.16941881	0.9297354	0.5808198	0.6472074	1.0	908	tags=30%, list=21%, signal=37%	
GO:0006950	GO:0006950		47	0.1850879	0.92935133	0.5826613	0.6420518	1.0	870	tags=26%, list=20%, signal=32%	
GO:0010035	GO:0010035		16	0.24725333	0.8994494	0.6034292	0.6980139	1.0	711	tags=31%, list=16%, signal=37%	
GO:0065007	GO:0065007		101	0.15075558	0.8909916	0.72204214	0.7085336	1.0	740	tags=23%, list=17%, signal=27%	
GO:0006464	GO:0006464		31	0.19844128	0.888146	0.6438438	0.7080331	1.0	1181	tags=42%, list=27%, signal=57%	
GO:0006812	GO:0006812		47	0.17680332	0.8760975	0.6732877	0.72508526	1.0	711	tags=26%, list=16%, signal=30%	
GO:0036211	GO:0036211		32	0.1936448	0.8721406	0.65802467	0.72646946	1.0	1181	tags=41%, list=27%, signal=55%	
GO:0019219	GO:0019219		18	0.22851303	0.8664016	0.6524293	0.7313211	1.0	1313	tags=50%, list=30%, signal=71%	
GO:0043933	GO:0043933		18	0.22861668	0.86568743	0.66198766	0.7262858	1.0	1021	tags=39%, list=24%, signal=51%	
GO:0009892	GO:0009892		16	0.23884849	0.8627079	0.6397999	0.7255718	1.0	302	tags=19%, list=7%, signal=20%	
GO:0034655	GO:0034655		17	0.22475158	0.83423674	0.690899	0.7698176	1.0	1534	tags=59%, list=35%, signal=91%	
GO:0008610	GO:0008610		25	0.1987756	0.8297625	0.72473866	0.7708621	1.0	865	tags=28%, list=20%, signal=35%	
GO:0009889	GO:0009889		30	0.18646398	0.82445663	0.7294626	0.7732921	1.0	1326	tags=47%, list=31%, signal=67%	
GO:0048519	GO:0048519		24	0.18305951	0.7618943	0.8315061	0.85796016	1.0	593	tags=21%, list=14%, signal=24%	
GO:0098662	GO:0098662		18	0.20165908	0.7579234	0.7924009	0.8559326	1.0	711	tags=28%, list=16%, signal=33%	
