NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GO:1901575	GO:1901575	Details ...	141	0.26863408	1.6209517	0.0037582212	0.14344862	0.8682	1716	tags=51%, list=40%, signal=82%	
GO:0030001	GO:0030001	Details ...	21	0.42827553	1.6200135	0.029041288	0.13720673	0.871	1600	tags=71%, list=37%, signal=113%	
GO:0019637	GO:0019637		96	0.28812456	1.6179452	0.0065832785	0.13250856	0.8754	1257	tags=47%, list=29%, signal=65%	
GO:0098660	GO:0098660		22	0.41667914	1.6121782	0.030195381	0.13208337	0.8872	836	tags=50%, list=19%, signal=62%	
GO:0009152	GO:0009152		17	0.4547048	1.6100818	0.028044019	0.12816846	0.8896	1393	tags=65%, list=32%, signal=95%	
GO:0006631	GO:0006631		17	0.45426738	1.5992756	0.025512038	0.13156088	0.907	1207	tags=59%, list=28%, signal=81%	
GO:0005996	GO:0005996		29	0.38015854	1.5858862	0.03364023	0.13846742	0.9256	1478	tags=55%, list=34%, signal=83%	
GO:0019752	GO:0019752		162	0.2554203	1.5749569	0.0021929825	0.14326872	0.9374	1684	tags=50%, list=39%, signal=79%	
GO:0051716	GO:0051716		50	0.32602245	1.5692717	0.019106107	0.14317545	0.942	1251	tags=50%, list=29%, signal=69%	
GO:0006796	GO:0006796		105	0.27316922	1.5632551	0.0057877814	0.14383961	0.9478	1257	tags=46%, list=29%, signal=63%	
GO:0016054	GO:0016054		49	0.32414812	1.5549923	0.023201076	0.14670818	0.9562	1593	tags=55%, list=37%, signal=86%	
GO:0065008	GO:0065008		21	0.41273543	1.5540454	0.04066478	0.14252438	0.9566	881	tags=43%, list=20%, signal=54%	
GO:0006081	GO:0006081		15	0.45705608	1.5535363	0.044652503	0.13831328	0.9568	1398	tags=60%, list=32%, signal=88%	
GO:0034220	GO:0034220		50	0.3169073	1.5343331	0.026725305	0.15219328	0.9732	729	tags=36%, list=17%, signal=43%	
GO:0006464	GO:0006464		31	0.3577604	1.513698	0.041624367	0.1681452	0.985	1028	tags=45%, list=24%, signal=59%	
GO:0072522	GO:0072522		20	0.40167361	1.5013171	0.06014235	0.1764603	0.9884	1393	tags=60%, list=32%, signal=88%	
GO:0006811	GO:0006811		87	0.26848045	1.4825763	0.025707778	0.19262466	0.993	1600	tags=53%, list=37%, signal=82%	
GO:1901605	GO:1901605		65	0.28918377	1.4820215	0.035892323	0.1879043	0.993	1680	tags=52%, list=39%, signal=84%	
GO:0046394	GO:0046394		50	0.3063336	1.476187	0.04079602	0.18942356	0.9944	1269	tags=46%, list=29%, signal=64%	
GO:0033554	GO:0033554		34	0.33717528	1.4691103	0.05491832	0.19221452	0.9958	1453	tags=56%, list=33%, signal=83%	
GO:0006767	GO:0006767		17	0.4109263	1.4506996	0.07751396	0.21014066	0.9972	879	tags=47%, list=20%, signal=59%	
GO:0016053	GO:0016053		51	0.29930645	1.4490606	0.04699121	0.20717937	0.9972	1269	tags=45%, list=29%, signal=63%	
GO:0006520	GO:0006520		92	0.25917172	1.4416789	0.03294893	0.2113729	0.9978	1680	tags=49%, list=39%, signal=78%	
GO:0006753	GO:0006753		57	0.2884516	1.438785	0.056347366	0.20963147	0.9982	1434	tags=51%, list=33%, signal=75%	
GO:0098655	GO:0098655		27	0.35405692	1.437671	0.06717452	0.20592494	0.9984	836	tags=44%, list=19%, signal=55%	
GO:0046700	GO:0046700		30	0.34232312	1.4366899	0.07064641	0.2023268	0.9986	742	tags=33%, list=17%, signal=40%	
GO:0032787	GO:0032787		54	0.2887985	1.4296403	0.053468697	0.20603003	0.999	1224	tags=44%, list=28%, signal=61%	
GO:0036211	GO:0036211		32	0.3336059	1.429164	0.0726257	0.20218574	0.9992	1028	tags=44%, list=24%, signal=57%	
GO:0008104	GO:0008104		17	0.40425193	1.4219071	0.079131655	0.20624508	0.9994	1167	tags=59%, list=27%, signal=80%	
GO:0006950	GO:0006950		47	0.2989714	1.4215711	0.06908229	0.20237087	0.9994	1249	tags=45%, list=29%, signal=62%	
GO:0051179	GO:0051179		167	0.22778796	1.4203153	0.021165645	0.19985928	0.9994	1353	tags=42%, list=31%, signal=59%	
GO:0055085	GO:0055085		78	0.26387045	1.4178783	0.04645799	0.19877727	0.9994	1331	tags=46%, list=31%, signal=65%	
GO:0046395	GO:0046395		46	0.29877895	1.4054362	0.06668901	0.20965843	0.9996	1593	tags=52%, list=37%, signal=82%	
GO:1901137	GO:1901137		60	0.27783114	1.3939276	0.07288532	0.2193001	0.9998	1268	tags=45%, list=29%, signal=63%	
GO:0009117	GO:0009117		53	0.28314674	1.3840944	0.074432574	0.22739324	0.9998	1434	tags=51%, list=33%, signal=75%	
GO:0007154	GO:0007154		16	0.39929175	1.3840128	0.10744986	0.223302	0.9998	1165	tags=56%, list=27%, signal=77%	
GO:0070887	GO:0070887		17	0.39091712	1.3810066	0.11367611	0.22276355	0.9998	1251	tags=53%, list=29%, signal=74%	
GO:0010035	GO:0010035		16	0.39929646	1.3753556	0.1130372	0.22581126	0.9998	1251	tags=56%, list=29%, signal=79%	
GO:1901607	GO:1901607		28	0.33368608	1.3634381	0.1052076	0.23667927	1.0	1118	tags=43%, list=26%, signal=57%	
GO:0009259	GO:0009259		34	0.31345886	1.3624575	0.09786788	0.23396626	1.0	1393	tags=53%, list=32%, signal=77%	
GO:0009605	GO:0009605		16	0.3945107	1.362293	0.106414	0.23017994	1.0	651	tags=44%, list=15%, signal=51%	
GO:0016052	GO:0016052		41	0.2956484	1.3618846	0.093404755	0.22684257	1.0	1449	tags=44%, list=33%, signal=65%	
GO:0043603	GO:0043603		61	0.2670819	1.3568176	0.07945479	0.229571	1.0	1786	tags=54%, list=41%, signal=91%	
GO:0018193	GO:0018193		15	0.39847666	1.3543242	0.13028044	0.22890763	1.0	1028	tags=53%, list=24%, signal=70%	
GO:0090407	GO:0090407		65	0.25927606	1.3362029	0.08260869	0.24894112	1.0	1257	tags=46%, list=29%, signal=64%	
GO:0006766	GO:0006766		18	0.3724782	1.3269905	0.13663298	0.25753245	1.0	879	tags=44%, list=20%, signal=55%	
GO:0005975	GO:0005975		83	0.24484995	1.3250197	0.08018403	0.25625312	1.0	1478	tags=45%, list=34%, signal=66%	
GO:0006820	GO:0006820		52	0.27191654	1.3244022	0.102936216	0.25303987	1.0	1599	tags=52%, list=37%, signal=81%	
GO:1901564	GO:1901564		281	0.19577116	1.3139174	0.037091553	0.26356143	1.0	1393	tags=38%, list=32%, signal=53%	
GO:0034655	GO:0034655		17	0.36498222	1.3064811	0.1521188	0.26974252	1.0	699	tags=35%, list=16%, signal=42%	
GO:0055086	GO:0055086		92	0.23310636	1.299203	0.091731265	0.27623835	1.0	1434	tags=45%, list=33%, signal=65%	
GO:0051234	GO:0051234		159	0.20991588	1.2954798	0.07509506	0.2776526	1.0	1353	tags=40%, list=31%, signal=56%	
GO:0006810	GO:0006810		157	0.21049725	1.2931676	0.079737335	0.27705982	1.0	1353	tags=40%, list=31%, signal=56%	
GO:1901565	GO:1901565		54	0.2607312	1.2839779	0.13113628	0.2863101	1.0	1716	tags=52%, list=40%, signal=85%	
GO:0050789	GO:0050789		80	0.2389806	1.2836747	0.110929854	0.2828911	1.0	394	tags=21%, list=9%, signal=23%	
GO:1901566	GO:1901566		144	0.21098271	1.2792954	0.09511811	0.28517497	1.0	1225	tags=37%, list=28%, signal=50%	
GO:0046365	GO:0046365		15	0.3785883	1.27771	0.18272308	0.28386056	1.0	1449	tags=53%, list=33%, signal=80%	
GO:0009058	GO:0009058		244	0.19244565	1.2757168	0.06095353	0.2829174	1.0	1269	tags=37%, list=29%, signal=49%	
GO:0006974	GO:0006974		17	0.35995758	1.2756834	0.16863166	0.27929592	1.0	1453	tags=59%, list=33%, signal=88%	
GO:1901615	GO:1901615		36	0.28767237	1.2718613	0.15441176	0.2810017	1.0	1684	tags=67%, list=39%, signal=108%	
GO:0044270	GO:0044270		30	0.3044173	1.2689601	0.16108787	0.28157294	1.0	846	tags=33%, list=19%, signal=41%	
GO:0044249	GO:0044249		227	0.19401622	1.266177	0.07590759	0.28203216	1.0	1269	tags=37%, list=29%, signal=50%	
GO:0019693	GO:0019693		36	0.2839634	1.2549596	0.1712022	0.2940979	1.0	1393	tags=50%, list=32%, signal=73%	
GO:0050794	GO:0050794		64	0.24257919	1.25152	0.1369908	0.29548892	1.0	394	tags=22%, list=9%, signal=24%	
GO:0006066	GO:0006066		23	0.32160255	1.2503588	0.18067667	0.29372492	1.0	1469	tags=65%, list=34%, signal=98%	
GO:1901576	GO:1901576		239	0.18996274	1.2437434	0.09050313	0.2996982	1.0	1269	tags=37%, list=29%, signal=49%	
GO:0044255	GO:0044255		42	0.27029222	1.2381977	0.17036532	0.30412388	1.0	1268	tags=48%, list=29%, signal=67%	
GO:0008652	GO:0008652		31	0.28868994	1.2297308	0.18865979	0.3133732	1.0	1269	tags=42%, list=29%, signal=59%	
GO:0048519	GO:0048519		24	0.30955437	1.2280649	0.2012217	0.3121541	1.0	620	tags=29%, list=14%, signal=34%	
GO:0043648	GO:0043648		30	0.28818625	1.220431	0.19374785	0.320005	1.0	1084	tags=40%, list=25%, signal=53%	
GO:0009260	GO:0009260		25	0.30155736	1.2017509	0.21826358	0.345076	1.0	1647	tags=60%, list=38%, signal=96%	
GO:0044275	GO:0044275		15	0.35549885	1.194097	0.23998557	0.35355353	1.0	1389	tags=47%, list=32%, signal=68%	
GO:0044238	GO:0044238		448	0.16682199	1.1849279	0.101912566	0.36488202	1.0	1460	tags=38%, list=34%, signal=52%	
GO:0044271	GO:0044271		139	0.19606152	1.1846778	0.16924505	0.36131802	1.0	1647	tags=47%, list=38%, signal=74%	
